step,t(s),meas_pos(m),meas_vel(m/s),est_pos(m),est_vel(m/s),u(m/s^2)
98,0.98,5.67243,0.442349,5.6943,0.600289,-0.599445
99,0.99,5.75508,0.43756,5.71126,0.627674,-0.60251
100,1,5.71257,0.428165,5.71654,0.62519,-0.602914
101,1.01,5.72496,0.385531,5.72323,0.626273,-0.603636
102,1.02,5.66139,0.396919,5.71587,0.59222,-0.601198
103,1.03,5.69912,0.39102,5.71726,0.580886,-0.60077
104,1.04,5.75473,0.388117,5.7294,0.596719,-0.602776
105,1.05,5.74567,0.385842,5.73743,0.601871,-0.603836
106,1.06,5.73713,0.364146,5.74218,0.598713,-0.604154
107,1.07,5.74842,0.373666,5.74822,0.598836,-0.604764
108,1.08,5.71353,0.361547,5.74607,0.578495,-0.603532
109,1.09,5.77988,0.344662,5.75746,0.592505,-0.605371
110,1.1,5.79678,0.37085,5.77007,0.609203,-0.607467
111,1.11,5.6701,0.36945,5.75495,0.556177,-0.603304
112,1.12,5.75455,0.311212,5.75932,0.553196,-0.603591
113,1.13,5.79575,0.331267,5.77103,0.568649,-0.605535
114,1.14,5.68646,0.333562,5.75866,0.52352,-0.602042
115,1.15,5.74229,0.294796,5.75958,0.512714,-0.601593
116,1.16,5.79765,0.303292,5.77129,0.52919,-0.603589
117,1.17,5.8158,0.267915,5.78443,0.548797,-0.605883
118,1.18,5.73091,0.273856,5.77812,0.519291,-0.603776
119,1.19,5.81332,0.323223,5.78931,0.534299,-0.605646
120,1.2,5.85228,0.31688,5.80618,0.563112,-0.608774
121,1.21,5.79361,0.259322,5.80817,0.554014,-0.608518
122,1.22,5.71868,0.287463,5.7947,0.506496,-0.604795
123,1.23,5.80261,0.265899,5.80034,0.507918,-0.60543
124,1.24,5.7641,0.266605,5.79715,0.487261,-0.604078
125,1.25,5.73227,0.232853,5.78808,0.452382,-0.601427
126,1.26,5.80944,0.266724,5.79597,0.4608,-0.602637
127,1.27,5.78663,0.21194,5.79778,0.453826,-0.60247
128,1.28,5.83164,0.257906,5.80819,0.468484,-0.604243
129,1.29,5.80826,0.243849,5.81195,0.46618,-0.604504
130,1.3,5.82984,0.2198,5.81926,0.472797,-0.605566
131,1.31,5.88154,0.222427,5.8355,0.501575,-0.608628
132,1.32,5.87947,0.210909,5.84831,0.521055,-0.610883
133,1.33,5.8744,0.193889,5.85769,0.531497,-0.612344
134,1.34,5.80485,0.201943,5.85138,0.502417,-0.610258
135,1.35,5.80138,0.204893,5.8454,0.474907,-0.608285
136,1.36,5.82173,0.194936,5.84446,0.460698,-0.607481
137,1.37,5.83344,0.206539,5.84594,0.452885,-0.607238
138,1.38,5.8493,0.16039,5.85024,0.452301,-0.607639
139,1.39,5.89123,0.180617,5.86205,0.470534,-0.609732
140,1.4,5.88763,0.184608,5.87093,0.480971,-0.611142
141,1.41,5.96112,0.206437,5.89282,0.523658,-0.615465
142,1.42,5.87769,0.1631,5.89398,0.513476,-0.615072
143,1.43,5.93222,0.0961881,5.90574,0.530029,-0.617075
144,1.44,5.84257,0.191489,5.89734,0.495793,-0.614524
145,1.45,5.81747,0.162413,5.88534,0.453376,-0.611202
146,1.46,5.84035,0.133685,5.87996,0.428615,-0.609427
147,1.47,5.92331,0.168632,5.89206,0.448145,-0.611614
148,1.48,5.79585,0.128993,5.87641,0.397798,-0.60753
149,1.49,5.89579,0.0822665,5.88347,0.405503,-0.608622
150,1.5,5.87516,0.118221,5.88505,0.399324,-0.608471
151,1.51,5.77904,0.101517,5.86704,0.344324,-0.60392
152,1.52,5.87779,0.107221,5.87195,0.347975,-0.604593
153,1.53,5.86128,0.0798132,5.8726,0.340904,-0.604305
154,1.54,5.91389,0.103525,5.88358,0.359847,-0.606351
155,1.55,5.81687,0.0449353,5.87312,0.324691,-0.603547
156,1.56,5.92472,0.0712465,5.88604,0.348867,-0.606047
157,1.57,5.85326,0.0653133,5.88227,0.330732,-0.604764
158,1.58,5.79551,0.0532947,5.86756,0.285696,-0.601041
159,1.59,5.76151,0.0609483,5.84864,0.231239,-0.596426
160,1.6,5.76767,0.0768897,5.83429,0.189599,-0.592909
161,1.61,5.86621,0.0526325,5.84219,0.204608,-0.59445
162,1.62,5.86369,0.0362648,5.84813,0.214331,-0.59553
163,1.63,5.89096,0.0377653,5.85841,0.234676,-0.597575
164,1.64,5.84033,0.0628691,5.85667,0.224462,-0.59689
165,1.65,5.86777,0.00495454,5.86069,0.228887,-0.597513
166,1.66,5.88722,0.0150824,5.86782,0.241009,-0.598833
167,1.67,5.89194,0.0289759,5.87458,0.251863,-0.600051
168,1.68,5.93385,0.00289111,5.88845,0.28024,-0.602857
169,1.69,5.80982,-0.0185252,5.87496,0.239525,-0.599472
170,1.7,5.80507,-0.0098484,5.8629,0.203379,-0.596459
171,1.71,5.92925,-0.0883446,5.8778,0.23554,-0.599557
172,1.72,5.85006,-0.0136139,5.87413,0.220493,-0.598438
173,1.73,5.82007,-0.0527838,5.86508,0.192358,-0.596126
174,1.74,5.76761,-0.0537398,5.84713,0.14266,-0.591846
175,1.75,5.91605,-0.0319511,5.86205,0.176405,-0.595026
176,1.76,5.83453,-0.000314538,5.85796,0.161762,-0.593884
177,1.77,5.91352,-0.0560239,5.87037,0.188733,-0.596473
178,1.78,5.82834,-0.0738465,5.86347,0.166774,-0.594686
179,1.79,5.91325,-0.0702485,5.87476,0.190832,-0.597018
180,1.8,5.79264,-0.0531344,5.85986,0.148816,-0.593427
181,1.81,5.9097,-0.0702231,5.87102,0.17299,-0.595752
182,1.82,5.76676,-0.0711746,5.85155,0.119995,-0.591155
183,1.83,5.85828,-0.0643919,5.85386,0.122758,-0.591524
184,1.84,5.79124,-0.0698066,5.84232,0.0908369,-0.588774
185,1.85,5.84302,-0.0852159,5.84318,0.0907319,-0.588855
186,1.86,5.79961,-0.122135,5.83519,0.0684902,-0.586944
187,1.87,5.78966,-0.0938894,5.82664,0.0453815,-0.584933
188,1.88,5.8142,-0.153438,5.82451,0.0389387,-0.584398
189,1.89,5.83609,-0.0881502,5.82714,0.0445321,-0.584941
190,1.9,5.79755,-0.14635,5.82158,0.0295133,-0.583633
191,1.91,5.77493,-0.0852325,5.81248,0.00604308,-0.581551
192,1.92,5.89336,-0.136317,5.82871,0.0464499,-0.585193
